blink_count,mean_ibi,ibi_std,target
4,2.876560688018799,1.0150370339092516,1
8,1.353731291634696,0.7029853566798526,1
3,3.3794134855270386,2.8595136404037476,1
6,1.766369390487671,1.7127036779975655,1
9,1.247626543045044,0.5488448452284228,1
4,2.530919631322225,1.802432695897647,1
4,1.7674396832784016,0.9160898278307272,1
2,11.74863076210022,0.0,1
3,2.3390090465545654,0.6739709377288818,1
3,3.6929880380630493,0.47003304958343506,1
6,1.9964064121246339,1.194090922814911,1
3,2.6512930393218994,1.4068851470947266,1
4,2.6337316830952964,0.2153153316710615,1
6,1.9553706169128418,1.4397115267667644,1
4,2.287139654159546,0.5939388208929841,1
8,1.1886753014155798,0.3635838298188144,1
6,1.872402048110962,0.5511407536114354,1
6,1.6011574745178223,0.9841377786105937,1
5,2.2606751918792725,2.058787409708883,1
7,1.2998988231023152,0.2536552588652893,1
4,3.2917179266611734,1.6615157645025012,1
7,1.4563724597295125,0.8314481624574304,1
3,4.005424976348877,1.8163511753082275,1
6,1.623468780517578,0.6335353170242567,1
7,1.5431559483210247,0.8170549658546787,1
3,4.215400576591492,2.1320894956588745,1
6,1.892904806137085,1.0430330396120646,1
3,4.801139950752258,1.4351240396499634,1
4,3.2590999603271484,3.208918298865181,1
4,2.947741667429606,1.7512150978676324,1
6,1.7679687976837157,0.7894175834732715,1
5,2.471033215522766,1.8246106134674724,1
5,2.3141120076179504,1.4621889996167872,1
6,1.9147505283355712,1.0018069855678686,1
6,1.9970845699310302,1.609236879757473,1
7,1.3858236869176228,1.110698152939311,1
4,2.73799999554952,1.7379575178553492,1
5,2.3909515738487244,1.07340323021452,1
6,1.1849462032318114,0.6268600330415143,1
4,2.1147730350494385,0.46509897385604587,1
5,2.0548369884490967,0.5179968620458849,1
7,1.473132610321045,0.5780037784394279,1
6,1.7055131435394286,0.776517390734367,1
4,1.8369797070821126,0.8031582191322395,1
6,1.706522035598755,0.8903881272820525,1
2,6.865347862243652,0.0,1
8,1.4113568578447615,0.5042160761758596,1
6,1.851143980026245,0.6646143829989849,1
6,1.6222335815429687,0.836808279020595,1
5,1.9770577549934387,0.8315608921196582,1
10,1.040450096130371,0.3877707782295567,1
